,Tuesday,NNP,B-tim
,that,IN,O
,European,JJ,B-gpe
,incentives,NNS,O
,aimed,VBN,O
,at,IN,O
,persuading,VBG,O
,Iran,NNP,B-gpe
,to,TO,O
,end,VB,O
,its,PRP$,O
,nuclear,JJ,O
,fuel,NN,O
,program,NN,O
,are,VBP,O
,an,DT,O
,insult,NN,O
,to,TO,O
,the,DT,O
,Iranian,JJ,B-gpe
,nation,NN,O
,.,.,O
Sentence: 14,Two,CD,O
,Germans,NNS,B-gpe
,and,CC,O
,four,CD,O
,Nigerian,JJ,B-gpe
,oil,NN,O
,workers,NNS,O
,were,VBD,O
,kidnapped,VBN,O
,by,IN,O
,armed,JJ,O
,militants,NNS,O
,during,IN,O
,a,DT,O
,raid,NN,O
,on,IN,O
,a,DT,O
,boat,NN,O
,in,IN,O
,Nigeria,NNP,B-geo
,'s,POS,O
,southern,JJ,O
,oil-rich,JJ,O
,Delta,NNP,B-geo
,region,NN,O
,.,.,O
Sentence: 15,An,DT,O
,official,NN,O
,with,IN,O
,the,DT,O
,German,JJ,B-gpe
,firm,NN,O
,Bilfinger,NNP,B-org
,Berger,NNP,I-org
,",",",",O
,Thomas,NNP,B-per
,Horbach,NNP,I-per
,",",",",O
,said,VBD,O
,the,DT,O
,gunmen,NNS,O
,stopped,VBD,O
,the,DT,O
,supply,NN,O
,boat,NN,O
,Wednesday,NNP,B-tim
,as,IN,O
,it,PRP,O
,sailed,VBD,O
,from,IN,O
,Delta,NNP,B-geo
,State,NNP,I-geo
,to,TO,O
,Bayelsa,NNP,B-geo
,State,NNP,I-geo
,to,TO,O
,inspect,VB,O
,an,DT,O
,offshore,JJ,O
,oil,NN,O
,field,NN,O
,owned,VBN,O
,by,IN,O
,Royal-Dutch,NNP,B-org
,Shell,NNP,I-org
,.,.,O
Sentence: 16,The,DT,O
,German,JJ,B-gpe
,firm,NN,O
,works,VBZ,O
,as,IN,O
,a,DT,O
,sub-contractor,NN,O
,for,IN,O
,Shell,NNP,B-org
,.,.,O
Sentence: 17,Militant,JJ,O
,groups,NNS,O
,frequently,RB,O
,attack,VBP,O
,oil,NN,O
,operations,NNS,O
,in,IN,O
,the,DT,O
,Niger,NNP,B-geo
,Delta,NNP,I-geo
,to,TO,O
,demand,VB,O
,social,JJ,O
,services,NNS,O
,and,CC,O
,better,JJR,O
,job,NN,O
,opportunities,NNS,O
,from,IN,O
,multinational,JJ,O
,companies,NNS,O
,.,.,O
Sentence: 18,Poor,JJ,O
,residents,NNS,O
,often,RB,O
,complain,VBP,O
,they,PRP,O
,have,VBP,O
,been,VBN,O
,cheated,VBN,O
,out,IN,O
,of,IN,O
,the,DT,O
,huge,JJ,O
,riches,NNS,O
,extracted,VBN,O
,from,IN,O
,their,PRP$,O
,tribal,JJ,O
,lands,NNS,O
,-,:,O
,where,WRB,O
,the,DT,O
,bulk,NN,O
,of,IN,O
,Nigeria,NNP,B-gpe
,'s,POS,O
,2.3,CD,O
,million,CD,O
,barrels,NNS,O
,of,IN,O
,petroleum,NN,O
,are,VBP,O
,pumped,VBN,O
,daily,RB,O
,.,.,O
Sentence: 19,Suspected,JJ,O
,Islamist,JJ,O
,rebels,NNS,O
,have,VBP,O
,fired,VBN,O
,mortar,NN,O
,shells,NNS,O
,at,IN,O
,the,DT,O
,palace,NN,O
,used,VBN,O
,by,IN,O
,Somalia,NNP,B-geo
,'s,POS,O
,interim,JJ,O
,President,NNP,B-per
,Abdullahi,NNP,I-per
,Yusuf,NNP,I-per
,Ahmad,NNP,I-per
,.,.,O
Sentence: 20,It,PRP,O
,was,VBD,O
,not,RB,O
,immediately,RB,O
,clear,JJ,O
,if,IN,O
,the,DT,O
,president,NN,O
,was,VBD,O
,in,IN,O
,the,DT,O
,palace,NN,O
,in,IN,O
,Mogadishu,NNP,B-geo
,when,WRB,O
,the,DT,O
,attack,NN,O
,occurred,VBD,O
,or,CC,O
,if,IN,O
,anyone,DT,O
,was,VBD,O
,hurt,VBN,O
,.,.,O
Sentence: 21,Local,JJ,O
,news,NN,O
,reports,NNS,O
,said,VBD,O
,at,IN,O
,least,JJS,O
,five,CD,O
,mortar,NN,O
,shells,NNS,O
,hit,VBD,O
,the,DT,O
,palace,NN,O
,compound,NN,O
,and,CC,O
,other,JJ,O
,mortars,NNS,O
,were,VBD,O
,fired,VBN,O
,elsewhere,RB,O
,in,IN,O
,Mogadishu,NNP,B-geo
,Wednesday,NNP,B-tim
,.,.,O
Sentence: 22,The,DT,O
,attacks,NNS,O
,occurred,VBD,O
,after,IN,O
,the,DT,O
,government,NN,O
,said,VBD,O
,it,PRP,O
,will,MD,O
,go,VB,O
,ahead,RB,O
,with,IN,O
,a,DT,O
,reconciliation,NN,O
,conference,NN,O
,to,TO,O
,which,WDT,O
,more,JJR,O
,than,IN,O
,"1,300",CD,O
,Somali,JJ,B-gpe
,elders,NNS,O
,",",",",O
,warlords,NNS,O
,and,CC,O
,politicians,NNS,O
,are,VBP,O
,invited,VBN,O
,.,.,O
Sentence: 23,Iraqi,JJ,B-gpe
,military,JJ,O
,officials,NNS,O
,say,VBP,O
,tanks,NNS,O
,and,CC,O
,troops,NNS,O
,have,VBP,O
,arrived,VBN,O
,in,IN,O
,the,DT,O
,northern,JJ,O
,city,NN,O
,Mosul,NNP,B-geo
,for,IN,O
,a,DT,O
,new,JJ,O
,offensive,NN,O
,against,IN,O
,al,NNP,B-org
,Qaida,NNP,I-org
,in,IN,I-org
,Iraq,NNP,I-org
,fighters,NNS,O
,.,.,O
Sentence: 24,Officials,NNS,O
,will,MD,O
,not,RB,O
,say,VB,O
,how,WRB,O
,many,JJ,O
,troops,NNS,O
,have,VBP,O
,arrived,VBN,O
,in,IN,O
,the,DT,O
,Sunni,NNP,B-geo
,Arab,NNP,I-geo
,and,CC,O
,Kurdish,NNP,B-geo
,city,NN,O
,",",",",O
,where,WRB,O
,bombings,NNS,O
,last,JJ,O
,week,NN,O
,killed,VBD,O
,at,IN,O
,least,JJS,O
,34,CD,O
,people,NNS,O
,and,CC,O
,wounded,VBD,O
,more,JJR,O
,than,IN,O
,200,CD,O
,.,.,O
Sentence: 25,U.S.,NNP,B-gpe
,commanders,NNS,O
,have,VBP,O
,not,RB,O
,explained,VBN,O
,how,WRB,O
,American,JJ,B-gpe
,forces,NNS,O
,will,MD,O
,participate,VB,O
,in,IN,O
,the,DT,O
,offensive,NN,O
,.,.,O
Sentence: 26,Officials,NNS,O
,say,VBP,O
,al,NNP,B-org
,Qaida,NNP,I-org
,in,IN,I-org
,Iraq,NNP,I-org
,fighters,NNS,O
,have,VBP,O
,fled,VBN,O
,successful,JJ,O
,campaigns,NNS,O
,against,IN,O
,them,PRP,O
,in,IN,O
,Anbar,NNP,B-geo
,province,NN,O
,and,CC,O
,Baghdad,NNP,B-geo
,to,TO,O
,other,JJ,O
,northern,JJ,O
,provinces,NNS,O
,.,.,O
Sentence: 27,Mosul,NNP,B-geo
,is,VBZ,O
,the,DT,O
,largest,JJS,O
,city,NN,O
,north,NN,O
,of,IN,O
,Baghdad,NNP,B-geo
,and,CC,O
,has,VBZ,O
,long,RB,O
,been,VBN,O
,a,DT,O
,stronghold,NN,O
,of,IN,O
,Sunni,NNP,B-org
,militant,JJ,O
,fighters,NNS,O
,.,.,O
Sentence: 28,In,IN,O
,other,JJ,O
,violence,NN,O
,",",",",O
,U.S.,NNP,B-gpe
,officials,NNS,O
,said,VBD,O
,one,CD,O
,American,JJ,B-gpe
,soldier,NN,O
,was,VBD,O
,killed,VBN,O
,while,IN,O
,on,IN,O
,patrol,NN,O
,in,IN,O
,Baghdad,NNP,B-geo
,Sunday,NNP,B-tim
,.,.,O
Sentence: 29,Egyptian,JJ,B-gpe
,police,NNS,O
,have,VBP,O
,arrested,VBN,O
,at,IN,O
,least,JJS,O
,16,CD,O
,members,NNS,O
,of,IN,O
,the,DT,O
,opposition,NN,O
,Muslim,NNP,B-org
,Brotherhood,NNP,I-org
,as,IN,O
,parts,NNS,O
,of,IN,O
,the,DT,O
,country,NN,O
,prepare,VB,O
,for,IN,O
,parliamentary,JJ,O
,runoff,NN,O
,elections,NNS,O
,Saturday,NNP,B-tim
,.,.,O
Sentence: 30,The,DT,O
,arrests,NNS,O
,occurred,VBD,O
,Friday,NNP,B-tim
,in,IN,O
,Alexandria,NNP,B-geo
,.,.,O
